Algorithm,Processes,Size,Latency
pipeline,2,2,0.20
pipeline,2,4,0.20
pipeline,2,8,0.19
pipeline,2,16,0.19
pipeline,2,32,0.24
pipeline,2,64,0.22
pipeline,2,128,0.27
pipeline,2,256,0.30
pipeline,2,512,0.32
pipeline,2,1024,0.39
pipeline,2,2048,0.49
pipeline,2,4096,0.74
pipeline,2,8192,1.20
pipeline,2,16384,2.82
pipeline,2,32768,4.79
pipeline,2,65536,6.03
pipeline,2,131072,8.70
pipeline,2,262144,14.21
pipeline,2,524288,26.40
pipeline,2,1048576,55.34
pipeline,4,2,0.45
pipeline,4,4,0.41
pipeline,4,8,0.42
pipeline,4,16,0.50
pipeline,4,32,0.48
pipeline,4,64,0.52
pipeline,4,128,0.65
pipeline,4,256,0.67
pipeline,4,512,0.86
pipeline,4,1024,0.92
pipeline,4,2048,1.29
pipeline,4,4096,1.90
pipeline,4,8192,3.07
pipeline,4,16384,9.06
pipeline,4,32768,15.20
pipeline,4,65536,21.63
pipeline,4,131072,35.10
pipeline,4,262144,61.36
pipeline,4,524288,112.99
pipeline,4,1048576,221.24
pipeline,8,2,1.15
pipeline,8,4,1.16
pipeline,8,8,1.19
pipeline,8,16,1.15
pipeline,8,32,1.38
pipeline,8,64,1.39
pipeline,8,128,1.87
pipeline,8,256,1.94
pipeline,8,512,2.08
pipeline,8,1024,2.42
pipeline,8,2048,3.13
pipeline,8,4096,4.49
pipeline,8,8192,7.08
pipeline,8,16384,18.89
pipeline,8,32768,26.38
pipeline,8,65536,41.41
pipeline,8,131072,76.99
pipeline,8,262144,140.89
pipeline,8,524288,273.94
pipeline,8,1048576,546.04
pipeline,16,2,2.29
pipeline,16,4,2.46
pipeline,16,8,2.92
pipeline,16,16,2.28
pipeline,16,32,2.82
pipeline,16,64,2.74
pipeline,16,128,3.74
pipeline,16,256,3.86
pipeline,16,512,4.12
pipeline,16,1024,4.96
pipeline,16,2048,6.36
pipeline,16,4096,9.24
pipeline,16,8192,14.46
pipeline,16,16384,36.52
pipeline,16,32768,60.85
pipeline,16,65536,84.93
pipeline,16,131072,148.99
pipeline,16,262144,279.40
pipeline,16,524288,542.73
pipeline,16,1048576,1160.11
pipeline,32,2,6.68
pipeline,32,4,6.48
pipeline,32,8,6.45
pipeline,32,16,6.43
pipeline,32,32,7.63
pipeline,32,64,7.51
pipeline,32,128,9.34
pipeline,32,256,12.40
pipeline,32,512,16.12
pipeline,32,1024,12.60
pipeline,32,2048,18.37
pipeline,32,4096,23.14
pipeline,32,8192,32.79
pipeline,32,16384,78.58
pipeline,32,32768,112.75
pipeline,32,65536,185.88
pipeline,32,131072,330.49
pipeline,32,262144,606.73
pipeline,32,524288,1170.57
pipeline,32,1048576,2618.46
pipeline,64,2,9.95
pipeline,64,4,9.88
pipeline,64,8,9.69
pipeline,64,16,9.72
pipeline,64,32,18.70
pipeline,64,64,15.31
pipeline,64,128,21.15
pipeline,64,256,18.06
pipeline,64,512,18.59
pipeline,64,1024,21.44
pipeline,64,2048,27.53
pipeline,64,4096,41.24
pipeline,64,8192,63.86
pipeline,64,16384,158.55
pipeline,64,32768,233.91
pipeline,64,65536,369.08
pipeline,64,131072,650.38
pipeline,64,262144,1208.79
pipeline,64,524288,2324.08
pipeline,64,1048576,5051.12
pipeline,128,2,
pipeline,128,4,
pipeline,128,8,
pipeline,128,16,
pipeline,128,32,
pipeline,128,64,
pipeline,128,128,
pipeline,128,256,
pipeline,128,512,
pipeline,128,1024,
pipeline,128,2048,
pipeline,128,4096,
pipeline,128,8192,
pipeline,128,16384,
pipeline,128,32768,
pipeline,128,65536,
pipeline,128,131072,
pipeline,128,262144,
pipeline,128,524288,
pipeline,128,1048576,
pipeline,256,2,
pipeline,256,4,
pipeline,256,8,
pipeline,256,16,
pipeline,256,32,
pipeline,256,64,
pipeline,256,128,
pipeline,256,256,
pipeline,256,512,
pipeline,256,1024,
pipeline,256,2048,
pipeline,256,4096,
pipeline,256,8192,
pipeline,256,16384,
pipeline,256,32768,
pipeline,256,65536,
pipeline,256,131072,
pipeline,256,262144,
pipeline,256,524288,
pipeline,256,1048576,
chain,2,2,0.19
chain,2,4,0.19
chain,2,8,0.18
chain,2,16,0.20
chain,2,32,0.23
chain,2,64,0.22
chain,2,128,0.29
chain,2,256,0.30
chain,2,512,0.33
chain,2,1024,0.39
chain,2,2048,0.50
chain,2,4096,0.75
chain,2,8192,1.21
chain,2,16384,2.86
chain,2,32768,4.74
chain,2,65536,6.06
chain,2,131072,8.80
chain,2,262144,13.98
chain,2,524288,25.94
chain,2,1048576,53.57
chain,4,2,0.24
chain,4,4,0.25
chain,4,8,0.19
chain,4,16,0.26
chain,4,32,0.34
chain,4,64,0.23
chain,4,128,0.41
chain,4,256,0.50
chain,4,512,0.47
chain,4,1024,0.66
chain,4,2048,0.96
chain,4,4096,1.68
chain,4,8192,2.34
chain,4,16384,4.71
chain,4,32768,8.01
chain,4,65536,13.28
chain,4,131072,23.35
chain,4,262144,47.41
chain,4,524288,96.45
chain,4,1048576,197.55
chain,8,2,0.52
chain,8,4,0.53
chain,8,8,0.53
chain,8,16,0.53
chain,8,32,0.65
chain,8,64,0.61
chain,8,128,1.34
chain,8,256,1.04
chain,8,512,1.11
chain,8,1024,1.35
chain,8,2048,1.73
chain,8,4096,2.62
chain,8,8192,4.08
chain,8,16384,8.77
chain,8,32768,14.28
chain,8,65536,25.98
chain,8,131072,43.02
chain,8,262144,94.68
chain,8,524288,182.99
chain,8,1048576,344.11
chain,16,2,0.81
chain,16,4,0.82
chain,16,8,0.81
chain,16,16,0.81
chain,16,32,0.94
chain,16,64,0.94
chain,16,128,1.44
chain,16,256,1.51
chain,16,512,1.58
chain,16,1024,2.01
chain,16,2048,2.82
chain,16,4096,4.22
chain,16,8192,6.06
chain,16,16384,15.42
chain,16,32768,23.88
chain,16,65536,41.65
chain,16,131072,81.30
chain,16,262144,148.21
chain,16,524288,288.36
chain,16,1048576,561.39
chain,32,2,1.72
chain,32,4,2.03
chain,32,8,1.77
chain,32,16,1.69
chain,32,32,2.10
chain,32,64,2.03
chain,32,128,2.89
chain,32,256,2.98
chain,32,512,3.26
chain,32,1024,4.06
chain,32,2048,5.32
chain,32,4096,7.48
chain,32,8192,11.42
chain,32,16384,34.04
chain,32,32768,46.19
chain,32,65536,75.70
chain,32,131072,138.22
chain,32,262144,266.12
chain,32,524288,549.42
chain,32,1048576,1078.47
chain,64,2,2.88
chain,64,4,2.81
chain,64,8,2.78
chain,64,16,2.82
chain,64,32,3.33
chain,64,64,3.22
chain,64,128,4.79
chain,64,256,4.99
chain,64,512,5.41
chain,64,1024,13.73
chain,64,2048,9.98
chain,64,4096,13.90
chain,64,8192,23.55
chain,64,16384,44.93
chain,64,32768,66.75
chain,64,65536,110.68
chain,64,131072,209.74
chain,64,262144,402.89
chain,64,524288,787.10
chain,64,1048576,1578.75
chain,128,2,
chain,128,4,
chain,128,8,
chain,128,16,
chain,128,32,
chain,128,64,
chain,128,128,
chain,128,256,
chain,128,512,
