Algorithm,Processes,Size,Latency
basic_linear,2,2,0.19
basic_linear,2,4,0.21
basic_linear,2,8,0.2
basic_linear,2,16,0.18
basic_linear,2,32,0.22
basic_linear,2,64,0.26
basic_linear,2,128,0.31
basic_linear,2,256,0.31
basic_linear,2,512,0.35
basic_linear,2,1024,0.42
basic_linear,2,2048,0.53
basic_linear,2,4096,0.84
basic_linear,2,8192,1.33
basic_linear,2,16384,3.1
basic_linear,2,32768,5.38
basic_linear,2,65536,6.76
basic_linear,2,131072,9.89
basic_linear,2,262144,15.61
basic_linear,2,524288,29.78
basic_linear,2,1048576,61.51
basic_linear,4,2,0.25
basic_linear,4,4,0.2
basic_linear,4,8,0.2
basic_linear,4,16,0.21
basic_linear,4,32,0.27
basic_linear,4,64,0.27
basic_linear,4,128,0.42
basic_linear,4,256,0.47
basic_linear,4,512,0.51
basic_linear,4,1024,0.73
basic_linear,4,2048,1.03
basic_linear,4,4096,1.72
basic_linear,4,8192,2.55
basic_linear,4,16384,5.65
basic_linear,4,32768,8.98
basic_linear,4,65536,14.98
basic_linear,4,131072,27.63
basic_linear,4,262144,54.57
basic_linear,4,524288,109.98
basic_linear,4,1048576,217.77
basic_linear,6,2,0.29
basic_linear,6,4,0.3
basic_linear,6,8,0.31
basic_linear,6,16,0.31
basic_linear,6,32,0.46
basic_linear,6,64,0.41
basic_linear,6,128,0.68
basic_linear,6,256,0.74
basic_linear,6,512,0.78
basic_linear,6,1024,1.07
basic_linear,6,2048,1.5
basic_linear,6,4096,2.38
basic_linear,6,8192,3.56
basic_linear,6,16384,6.78
basic_linear,6,32768,11.65
basic_linear,6,65536,22.34
basic_linear,6,131072,36.11
basic_linear,6,262144,85.69
basic_linear,6,524288,165.31
basic_linear,6,1048576,302.89
basic_linear,8,2,0.66
basic_linear,8,4,0.65
basic_linear,8,8,1.01
basic_linear,8,16,0.82
basic_linear,8,32,0.94
basic_linear,8,64,0.8
basic_linear,8,128,1.28
basic_linear,8,256,1.35
basic_linear,8,512,1.37
basic_linear,8,1024,1.75
basic_linear,8,2048,2.31
basic_linear,8,4096,3.33
basic_linear,8,8192,4.89
basic_linear,8,16384,8.21
basic_linear,8,32768,14.95
basic_linear,8,65536,29.12
basic_linear,8,131072,57.68
basic_linear,8,262144,112.68
basic_linear,8,524288,225.87
basic_linear,8,1048576,430.26
basic_linear,10,2,0.89
basic_linear,10,4,0.89
basic_linear,10,8,0.86
basic_linear,10,16,0.83
basic_linear,10,32,1.04
basic_linear,10,64,1.0
basic_linear,10,128,1.59
basic_linear,10,256,1.61
basic_linear,10,512,1.63
basic_linear,10,1024,2.21
basic_linear,10,2048,2.81
basic_linear,10,4096,4.08
basic_linear,10,8192,5.91
basic_linear,10,16384,10.49
basic_linear,10,32768,18.16
basic_linear,10,65536,35.52
basic_linear,10,131072,72.51
basic_linear,10,262144,137.61
basic_linear,10,524288,273.72
basic_linear,10,1048576,474.6
basic_linear,12,2,0.9
basic_linear,12,4,0.86
basic_linear,12,8,0.88
basic_linear,12,16,0.88
basic_linear,12,32,1.08
basic_linear,12,64,1.09
basic_linear,12,128,1.86
basic_linear,12,256,1.86
basic_linear,12,512,1.78
basic_linear,12,1024,2.51
basic_linear,12,2048,3.28
basic_linear,12,4096,4.63
basic_linear,12,8192,6.8
basic_linear,12,16384,11.27
basic_linear,12,32768,20.91
basic_linear,12,65536,41.52
basic_linear,12,131072,79.78
basic_linear,12,262144,162.58
basic_linear,12,524288,329.47
basic_linear,12,1048576,596.3
basic_linear,14,2,0.96
basic_linear,14,4,0.95
basic_linear,14,8,1.0
basic_linear,14,16,0.97
basic_linear,14,32,1.3
basic_linear,14,64,1.12
basic_linear,14,128,2.12
basic_linear,14,256,2.3
basic_linear,14,512,2.19
basic_linear,14,1024,3.11
basic_linear,14,2048,3.95
basic_linear,14,4096,5.6
basic_linear,14,8192,8.42
basic_linear,14,16384,14.68
basic_linear,14,32768,28.78
basic_linear,14,65536,41.68
basic_linear,14,131072,102.58
basic_linear,14,262144,233.51
basic_linear,14,524288,469.94
basic_linear,14,1048576,883.58
basic_linear,16,2,1.6
