Algorithm,Processes,Size,Latency
chain,2,2,0.22
chain,2,4,0.21
chain,2,8,0.21
chain,2,16,0.2
chain,2,32,0.27
chain,2,64,0.25
chain,2,128,0.32
chain,2,256,0.34
chain,2,512,0.33
chain,2,1024,0.44
chain,2,2048,0.56
chain,2,4096,0.86
chain,2,8192,1.37
chain,2,16384,3.11
chain,2,32768,5.3
chain,2,65536,6.78
chain,2,131072,10.08
chain,2,262144,16.07
chain,2,524288,29.85
chain,2,1048576,62.3
chain,4,2,0.2
chain,4,4,0.22
chain,4,8,0.21
chain,4,16,0.21
chain,4,32,0.29
chain,4,64,0.27
chain,4,128,0.57
chain,4,256,0.47
chain,4,512,0.54
chain,4,1024,0.77
chain,4,2048,1.08
chain,4,4096,1.67
chain,4,8192,2.57
chain,4,16384,5.84
chain,4,32768,8.89
chain,4,65536,15.33
chain,4,131072,27.05
chain,4,262144,53.38
chain,4,524288,117.19
chain,4,1048576,218.25
chain,6,2,0.35
chain,6,4,0.36
chain,6,8,0.35
chain,6,16,0.36
chain,6,32,0.42
chain,6,64,0.43
chain,6,128,0.68
chain,6,256,0.71
chain,6,512,0.75
chain,6,1024,1.04
chain,6,2048,1.44
chain,6,4096,2.24
chain,6,8192,3.46
chain,6,16384,7.57
chain,6,32768,12.65
chain,6,65536,23.25
chain,6,131072,43.92
chain,6,262144,84.38
chain,6,524288,160.18
chain,6,1048576,334.85
chain,8,2,0.58
chain,8,4,0.59
chain,8,8,0.62
chain,8,16,0.56
chain,8,32,0.69
chain,8,64,0.67
chain,8,128,1.06
chain,8,256,1.12
chain,8,512,1.18
chain,8,1024,1.47
chain,8,2048,1.92
chain,8,4096,2.82
chain,8,8192,4.33
chain,8,16384,9.97
chain,8,32768,15.99
chain,8,65536,28.81
chain,8,131072,51.64
chain,8,262144,106.42
chain,8,524288,197.89
chain,8,1048576,377.27
chain,10,2,0.9
chain,10,4,0.92
chain,10,8,0.93
chain,10,16,0.92
chain,10,32,1.05
chain,10,64,1.01
chain,10,128,1.38
chain,10,256,1.36
chain,10,512,1.46
chain,10,1024,1.8
chain,10,2048,2.34
chain,10,4096,3.38
chain,10,8192,5.03
chain,10,16384,12.0
chain,10,32768,19.03
chain,10,65536,32.77
chain,10,131072,60.82
chain,10,262144,114.1
chain,10,524288,220.37
chain,10,1048576,454.72
chain,12,2,0.91
chain,12,4,0.88
chain,12,8,0.89
chain,12,16,0.94
chain,12,32,1.05
chain,12,64,1.01
chain,12,128,1.41
chain,12,256,1.45
chain,12,512,1.51
chain,12,1024,1.91
chain,12,2048,2.51
chain,12,4096,3.61
chain,12,8192,5.56
chain,12,16384,13.35
chain,12,32768,21.67
chain,12,65536,37.25
chain,12,131072,69.85
chain,12,262144,125.92
chain,12,524288,253.69
chain,12,1048576,490.09
chain,14,2,0.84
chain,14,4,0.9
chain,14,8,0.84
chain,14,16,0.8
chain,14,32,1.0
chain,14,64,0.97
chain,14,128,1.54
chain,14,256,1.54
chain,14,512,1.63
chain,14,1024,2.2
chain,14,2048,2.76
chain,14,4096,4.25
chain,14,8192,6.42
chain,14,16384,15.43
chain,14,32768,24.49
chain,14,65536,42.97
chain,14,131072,85.19
chain,14,262144,153.61
chain,14,524288,299.81
chain,14,1048576,602.6
chain,16,2,1.17
chain,16,4,1.22
chain,16,8,1.25
chain,16,16,1.33
chain,16,32,1.44
chain,16,64,1.39
chain,16,128,2.18
chain,16,256,2.17
chain,16,512,2.39
chain,16,1024,2.86
chain,16,2048,3.56
chain,16,4096,5.05
chain,16,8192,7.7
chain,16,16384,19.34
chain,16,32768,31.75
chain,16,65536,62.31
chain,16,131072,101.89
chain,16,262144,183.86
chain,16,524288,401.51
chain,16,1048576,750.59
chain,18,2,2.26
chain,18,4,2.29
chain,18,8,2.26
chain,18,16,2.35
chain,18,32,2.55
chain,18,64,2.55
chain,18,128,3.08
chain,18,256,3.23
chain,18,512,3.39
chain,18,1024,3.86
chain,18,2048,4.68
chain,18,4096,6.26
chain,18,8192,9.24
chain,18,16384,22.49
chain,18,32768,37.31
chain,18,65536,60.35
chain,18,131072,108.98
chain,18,262144,210.25
chain,18,524288,415.42
chain,18,1048576,784.42
chain,20,2,2.5
chain,20,4,2.41
chain,20,8,2.44
chain,20,16,2.47
