Algorithm,Processes,Size,Latency
pipeline,2,2,0.23
pipeline,2,4,0.19
pipeline,2,8,0.21
pipeline,2,16,0.21
pipeline,2,32,0.26
pipeline,2,64,0.24
pipeline,2,128,0.32
pipeline,2,256,0.34
pipeline,2,512,0.37
pipeline,2,1024,0.45
pipeline,2,2048,0.57
pipeline,2,4096,0.86
pipeline,2,8192,1.36
pipeline,2,16384,3.12
pipeline,2,32768,5.33
pipeline,2,65536,6.72
pipeline,2,131072,9.84
pipeline,2,262144,15.71
pipeline,2,524288,29.21
pipeline,2,1048576,62.79
pipeline,4,2,0.5
pipeline,4,4,0.48
pipeline,4,8,0.45
pipeline,4,16,0.47
pipeline,4,32,0.51
pipeline,4,64,0.55
pipeline,4,128,0.71
pipeline,4,256,0.75
pipeline,4,512,0.87
pipeline,4,1024,1.05
pipeline,4,2048,1.45
pipeline,4,4096,2.15
pipeline,4,8192,3.44
pipeline,4,16384,10.07
pipeline,4,32768,16.83
pipeline,4,65536,23.91
pipeline,4,131072,38.11
pipeline,4,262144,68.62
pipeline,4,524288,122.2
pipeline,4,1048576,242.78
pipeline,6,2,0.8
pipeline,6,4,0.78
pipeline,6,8,0.78
pipeline,6,16,0.81
pipeline,6,32,1.01
pipeline,6,64,1.11
pipeline,6,128,1.22
pipeline,6,256,1.3
pipeline,6,512,1.43
pipeline,6,1024,1.75
pipeline,6,2048,2.34
pipeline,6,4096,3.42
pipeline,6,8192,5.52
pipeline,6,16384,15.02
pipeline,6,32768,21.4
pipeline,6,65536,33.71
pipeline,6,131072,61.26
pipeline,6,262144,108.19
pipeline,6,524288,211.64
pipeline,6,1048576,426.25
pipeline,8,2,1.78
pipeline,8,4,1.24
pipeline,8,8,1.53
pipeline,8,16,1.29
pipeline,8,32,1.75
pipeline,8,64,1.51
pipeline,8,128,2.17
pipeline,8,256,2.15
pipeline,8,512,2.15
pipeline,8,1024,2.63
pipeline,8,2048,3.42
pipeline,8,4096,5.01
pipeline,8,8192,7.85
pipeline,8,16384,20.64
pipeline,8,32768,29.11
pipeline,8,65536,49.41
pipeline,8,131072,80.14
pipeline,8,262144,146.78
pipeline,8,524288,282.8
pipeline,8,1048576,561.33
pipeline,10,2,1.65
pipeline,10,4,1.68
pipeline,10,8,1.66
pipeline,10,16,1.67
pipeline,10,32,2.15
pipeline,10,64,1.93
pipeline,10,128,2.6
pipeline,10,256,2.68
pipeline,10,512,2.77
pipeline,10,1024,3.38
pipeline,10,2048,4.38
pipeline,10,4096,6.32
pipeline,10,8192,10.03
pipeline,10,16384,25.27
pipeline,10,32768,36.09
pipeline,10,65536,57.53
pipeline,10,131072,101.14
pipeline,10,262144,183.15
pipeline,10,524288,356.97
pipeline,10,1048576,700.14
pipeline,12,2,2.69
pipeline,12,4,1.88
pipeline,12,8,1.95
pipeline,12,16,1.88
pipeline,12,32,2.28
pipeline,12,64,2.39
pipeline,12,128,2.97
pipeline,12,256,3.11
pipeline,12,512,3.3
pipeline,12,1024,3.96
pipeline,12,2048,5.24
pipeline,12,4096,7.53
pipeline,12,8192,11.88
pipeline,12,16384,30.34
pipeline,12,32768,43.82
pipeline,12,65536,70.05
pipeline,12,131072,120.47
pipeline,12,262144,225.48
pipeline,12,524288,423.62
pipeline,12,1048576,864.52
pipeline,14,2,3.04
pipeline,14,4,2.28
pipeline,14,8,2.06
pipeline,14,16,2.04
pipeline,14,32,2.55
pipeline,14,64,2.56
pipeline,14,128,3.47
pipeline,14,256,3.56
pipeline,14,512,3.87
pipeline,14,1024,4.63
pipeline,14,2048,6.18
pipeline,14,4096,8.95
pipeline,14,8192,14.39
pipeline,14,16384,41.3
pipeline,14,32768,52.9
pipeline,14,65536,83.9
pipeline,14,131072,146.78
pipeline,14,262144,272.81
pipeline,14,524288,516.93
pipeline,14,1048576,1050.47
pipeline,16,2,3.26
pipeline,16,4,3.14
pipeline,16,8,3.23
pipeline,16,16,3.06
pipeline,16,32,3.67
pipeline,16,64,3.63
pipeline,16,128,4.69
pipeline,16,256,4.79
pipeline,16,512,5.11
pipeline,16,1024,5.95
pipeline,16,2048,7.64
pipeline,16,4096,10.86
pipeline,16,8192,17.15
pipeline,16,16384,50.73
pipeline,16,32768,60.85
pipeline,16,65536,97.23
pipeline,16,131072,169.13
pipeline,16,262144,312.65
pipeline,16,524288,615.54
pipeline,16,1048576,1232.06
pipeline,18,2,4.34
pipeline,18,4,3.93
pipeline,18,8,4.09
pipeline,18,16,3.87
pipeline,18,32,4.49
pipeline,18,64,4.47
pipeline,18,128,5.69
pipeline,18,256,5.82
pipeline,18,512,6.26
pipeline,18,1024,7.38
pipeline,18,2048,9.22
pipeline,18,4096,12.89
pipeline,18,8192,19.98
pipeline,18,16384,48.93
pipeline,18,32768,69.03
pipeline,18,65536,109.34
pipeline,18,131072,199.08
pipeline,18,262144,352.14
pipeline,18,524288,691.62
pipeline,18,1048576,1369.19
pipeline,20,2,4.76
pipeline,20,4,4.51
pipeline,20,8,4.44
pipeline,20,16,4.44
pipeline,20,32,5.21
pipeline,20,64,5.18
pipeline,20,128,6.37
pipeline,20,256,6.66
pipeline,20,512,6.96
pipeline,20,1024,8.27
pipeline,20,2048,10.36
pipeline,20,4096,15.37
pipeline,20,8192,23.43
pipeline,20,16384,54.71
pipeline,20,32768,76.76
pipeline,20,65536,120.32
pipeline,20,131072,214.14
pipeline,20,262144,409.65
pipeline,20,524288,750.28
pipeline,20,1048576,1500.71
pipeline,22,2,4.96
pipeline,22,4,4.93
pipeline,22,8,4.75
pipeline,22,16,4.85
pipeline,22,32,5.63
pipeline,22,64,5.83
pipeline,22,128,7.15
pipeline,22,256,7.31
pipeline,22,512,7.72
pipeline,22,1024,9.05
pipeline,22,2048,11.43
pipeline,22,4096,24.86
pipeline,22,8192,25.37
pipeline,22,16384,59.02
pipeline,22,32768,85.21
pipeline,22,65536,133.52
pipeline,22,131072,233.97
pipeline,22,262144,428.14
pipeline,22,524288,819.3
pipeline,22,1048576,1648.03
pipeline,24,2,5.64
pipeline,24,4,5.57
pipeline,24,8,5.52
pipeline,24,16,5.37
pipeline,24,32,6.24
pipeline,24,64,6.21
pipeline,24,128,7.92
pipeline,24,256,8.1
pipeline,24,512,8.61
pipeline,24,1024,10.09
pipeline,24,2048,12.77
pipeline,24,4096,18.21
pipeline,24,8192,28.2
pipeline,24,16384,64.35
pipeline,24,32768,92.2
pipeline,24,65536,145.34
pipeline,24,131072,254.06
pipeline,24,262144,462.35
pipeline,24,524288,937.35
pipeline,24,1048576,1804.46
pipeline,26,2,5.22
pipeline,26,4,5.27
pipeline,26,8,5.2
pipeline,26,16,5.11
pipeline,26,32,6.39
pipeline,26,64,6.39
pipeline,26,128,8.07
pipeline,26,256,8.15
pipeline,26,512,8.68
pipeline,26,1024,10.32
pipeline,26,2048,13.6
pipeline,26,4096,19.71
pipeline,26,8192,29.96
pipeline,26,16384,69.2
pipeline,26,32768,98.91
pipeline,26,65536,155.16
pipeline,26,131072,273.59
pipeline,26,262144,500.01
pipeline,26,524288,959.15
pipeline,26,1048576,1945.18
pipeline,28,2,5.73
pipeline,28,4,5.58
pipeline,28,8,5.99
pipeline,28,16,5.52
pipeline,28,32,6.84
pipeline,28,64,6.81
pipeline,28,128,8.55
pipeline,28,256,8.96
pipeline,28,512,9.49
pipeline,28,1024,11.36
pipeline,28,2048,14.46
pipeline,28,4096,21.18
pipeline,28,8192,32.27
pipeline,28,16384,75.11
pipeline,28,32768,106.58
pipeline,28,65536,166.55
pipeline,28,131072,292.27
pipeline,28,262144,539.43
pipeline,28,524288,1027.28
pipeline,28,1048576,2070.15
pipeline,30,2,6.05
pipeline,30,4,6.04
pipeline,30,8,5.98
pipeline,30,16,5.94
pipeline,30,32,7.53
pipeline,30,64,7.44
pipeline,30,128,10.77
pipeline,30,256,10.44
pipeline,30,512,10.48
pipeline,30,1024,12.96
pipeline,30,2048,15.48
pipeline,30,4096,22.9
pipeline,30,8192,34.79
pipeline,30,16384,80.29
pipeline,30,32768,113.3
pipeline,30,65536,178.02
pipeline,30,131072,312.81
pipeline,30,262144,591.05
pipeline,30,524288,1102.25
pipeline,30,1048576,2239.2
pipeline,32,2,7.15
pipeline,32,4,7.12
pipeline,32,8,7.16
pipeline,32,16,7.2
pipeline,32,32,8.14
pipeline,32,64,8.23
pipeline,32,128,10.72
pipeline,32,256,13.36
pipeline,32,512,21.4
pipeline,32,1024,13.8
pipeline,32,2048,17.5
pipeline,32,4096,24.8
pipeline,32,8192,36.9
pipeline,32,16384,84.81
pipeline,32,32768,121.22
pipeline,32,65536,188.94
pipeline,32,131072,341.27
pipeline,32,262144,626.06
pipeline,32,524288,1208.24
pipeline,32,1048576,2430.09
pipeline,34,2,8.48
pipeline,34,4,8.37
pipeline,34,8,8.35
pipeline,34,16,8.38
pipeline,34,32,9.39
pipeline,34,64,12.02
pipeline,34,128,11.9
pipeline,34,256,14.88
pipeline,34,512,12.85
pipeline,34,1024,14.91
pipeline,34,2048,18.77
pipeline,34,4096,26.49
pipeline,34,8192,39.81
pipeline,34,16384,89.94
pipeline,34,32768,128.11
pipeline,34,65536,204.39
pipeline,34,131072,359.82
pipeline,34,262144,662.26
pipeline,34,524288,1271.85
pipeline,34,1048576,2567.1
pipeline,36,2,8.37
pipeline,36,4,8.26
pipeline,36,8,8.24
pipeline,36,16,8.23
pipeline,36,32,9.46
pipeline,36,64,9.36
pipeline,36,128,16.62
pipeline,36,256,12.46
pipeline,36,512,13.26
pipeline,36,1024,15.12
pipeline,36,2048,19.17
pipeline,36,4096,27.93
pipeline,36,8192,41.69
pipeline,36,16384,95.33
pipeline,36,32768,135.21
pipeline,36,65536,213.95
pipeline,36,131072,377.58
pipeline,36,262144,695.55
pipeline,36,524288,1338.08
pipeline,36,1048576,2707.08
pipeline,38,2,8.15
pipeline,38,4,8.12
pipeline,38,8,8.05
pipeline,38,16,8.04
pipeline,38,32,9.29
pipeline,38,64,16.45
pipeline,38,128,15.59
pipeline,38,256,12.76
pipeline,38,512,13.37
pipeline,38,1024,15.82
pipeline,38,2048,20.03
pipeline,38,4096,29.66
pipeline,38,8192,44.02
pipeline,38,16384,100.23
pipeline,38,32768,143.21
pipeline,38,65536,225.95
pipeline,38,131072,401.55
pipeline,38,262144,773.94
pipeline,38,524288,1414.55
pipeline,38,1048576,2879.61
pipeline,40,2,8.56
pipeline,40,4,8.38
pipeline,40,8,8.3
pipeline,40,16,8.52
pipeline,40,32,13.95
pipeline,40,64,13.9
pipeline,40,128,17.32
pipeline,40,256,13.37
pipeline,40,512,14.04
pipeline,40,1024,16.72
pipeline,40,2048,21.13
pipeline,40,4096,30.75
pipeline,40,8192,46.3
pipeline,40,16384,105.16
pipeline,40,32768,150.7
pipeline,40,65536,237.06
pipeline,40,131072,421.8
pipeline,40,262144,809.22
pipeline,40,524288,1491.71
pipeline,40,1048576,3021.49
pipeline,42,2,8.69
pipeline,42,4,8.69
pipeline,42,8,8.63
pipeline,42,16,8.58
pipeline,42,32,10.16
pipeline,42,64,19.01
pipeline,42,128,15.7
pipeline,42,256,14.02
pipeline,42,512,14.66
pipeline,42,1024,17.39
pipeline,42,2048,22.12
pipeline,42,4096,32.3
pipeline,42,8192,49.1
pipeline,42,16384,110.77
pipeline,42,32768,158.5
pipeline,42,65536,248.05
pipeline,42,131072,442.15
pipeline,42,262144,811.3
pipeline,42,524288,1573.11
pipeline,42,1048576,3167.64
pipeline,44,2,8.96
pipeline,44,4,9.01
pipeline,44,8,8.95
pipeline,44,16,8.92
pipeline,44,32,10.53
pipeline,44,64,15.51
pipeline,44,128,14.42
pipeline,44,256,14.7
pipeline,44,512,15.38
pipeline,44,1024,18.23
pipeline,44,2048,23.14
pipeline,44,4096,34.33
pipeline,44,8192,50.98
pipeline,44,16384,115.91
pipeline,44,32768,164.92
pipeline,44,65536,260.41
pipeline,44,131072,463.13
pipeline,44,262144,845.69
pipeline,44,524288,1626.86
pipeline,44,1048576,3311.92
pipeline,46,2,9.62
pipeline,46,4,9.61
pipeline,46,8,9.47
pipeline,46,16,9.49
pipeline,46,32,13.5
pipeline,46,64,12.69
pipeline,46,128,15.48
pipeline,46,256,15.25
pipeline,46,512,15.95
pipeline,46,1024,19.07
pipeline,46,2048,24.21
pipeline,46,4096,35.36
pipeline,46,8192,53.56
pipeline,46,16384,121.24
pipeline,46,32768,173.27
pipeline,46,65536,272.6
pipeline,46,131072,484.79
pipeline,46,262144,884.77
pipeline,46,524288,1695.3
pipeline,46,1048576,3451.73
pipeline,48,2,9.77
pipeline,48,4,9.75
pipeline,48,8,9.6
pipeline,48,16,11.01
pipeline,48,32,17.19
pipeline,48,64,14.9
pipeline,48,128,15.47
pipeline,48,256,15.78
pipeline,48,512,16.56
pipeline,48,1024,19.9
pipeline,48,2048,25.29
pipeline,48,4096,37.17
pipeline,48,8192,55.74
