Algorithm,Processes,Size,Latency
pipeline,2,2,0.22
pipeline,2,4,0.20
pipeline,2,8,0.21
pipeline,2,16,0.21
pipeline,2,32,0.24
pipeline,2,64,0.22
pipeline,2,128,0.37
pipeline,2,256,0.34
pipeline,2,512,0.36
pipeline,2,1024,0.44
pipeline,2,2048,0.57
pipeline,2,4096,0.85
pipeline,2,8192,1.37
pipeline,2,16384,3.08
pipeline,2,32768,5.32
pipeline,2,65536,6.74
pipeline,2,131072,9.87
pipeline,2,262144,15.94
pipeline,2,524288,29.62
pipeline,2,1048576,64.32
pipeline,4,2,0.46
pipeline,4,4,0.51
pipeline,4,8,0.44
pipeline,4,16,0.46
pipeline,4,32,0.54
pipeline,4,64,0.53
pipeline,4,128,0.71
pipeline,4,256,0.74
pipeline,4,512,0.87
pipeline,4,1024,1.03
pipeline,4,2048,1.43
pipeline,4,4096,2.11
pipeline,4,8192,3.45
pipeline,4,16384,10.05
pipeline,4,32768,16.58
pipeline,4,65536,23.86
pipeline,4,131072,38.47
pipeline,4,262144,68.55
pipeline,4,524288,123.82
pipeline,4,1048576,244.03
pipeline,8,2,1.29
pipeline,8,4,1.29
pipeline,8,8,1.53
pipeline,8,16,1.29
pipeline,8,32,1.47
pipeline,8,64,1.55
pipeline,8,128,2.05
pipeline,8,256,2.12
pipeline,8,512,2.22
pipeline,8,1024,2.65
pipeline,8,2048,3.36
pipeline,8,4096,4.95
pipeline,8,8192,7.80
pipeline,8,16384,20.29
pipeline,8,32768,28.86
pipeline,8,65536,45.19
pipeline,8,131072,79.92
pipeline,8,262144,146.75
pipeline,8,524288,287.65
pipeline,8,1048576,565.44
pipeline,16,2,3.59
pipeline,16,4,3.21
pipeline,16,8,3.20
pipeline,16,16,3.07
pipeline,16,32,3.73
pipeline,16,64,3.54
pipeline,16,128,4.68
pipeline,16,256,4.79
pipeline,16,512,5.18
pipeline,16,1024,5.93
pipeline,16,2048,7.78
pipeline,16,4096,10.88
pipeline,16,8192,16.99
pipeline,16,16384,45.29
pipeline,16,32768,60.87
pipeline,16,65536,95.66
pipeline,16,131072,170.16
pipeline,16,262144,312.94
pipeline,16,524288,609.38
pipeline,16,1048576,1188.44
pipeline,32,2,7.54
pipeline,32,4,7.47
pipeline,32,8,7.14
pipeline,32,16,7.30
pipeline,32,32,8.36
pipeline,32,64,8.53
pipeline,32,128,14.13
pipeline,32,256,21.93
pipeline,32,512,13.23
pipeline,32,1024,14.61
pipeline,32,2048,17.44
pipeline,32,4096,24.76
pipeline,32,8192,37.12
pipeline,32,16384,85.63
pipeline,32,32768,120.35
pipeline,32,65536,190.06
pipeline,32,131072,335.97
pipeline,32,262144,607.90
pipeline,32,524288,1150.19
pipeline,32,1048576,2341.76
pipeline,64,2,
pipeline,64,4,
pipeline,64,8,
pipeline,64,16,
pipeline,64,32,
pipeline,64,64,
pipeline,64,128,
pipeline,64,256,
pipeline,64,512,
pipeline,64,1024,
pipeline,64,2048,
pipeline,64,4096,
pipeline,64,8192,
pipeline,64,16384,
pipeline,64,32768,
pipeline,64,65536,
pipeline,64,131072,
pipeline,64,262144,
pipeline,64,524288,
pipeline,64,1048576,
pipeline,128,2,
pipeline,128,4,
pipeline,128,8,
pipeline,128,16,
pipeline,128,32,
pipeline,128,64,
pipeline,128,128,
pipeline,128,256,
pipeline,128,512,
pipeline,128,1024,
pipeline,128,2048,
pipeline,128,4096,
pipeline,128,8192,
pipeline,128,16384,
pipeline,128,32768,
pipeline,128,65536,
pipeline,128,131072,
pipeline,128,262144,
pipeline,128,524288,
pipeline,128,1048576,
pipeline,256,2,
pipeline,256,4,
pipeline,256,8,
pipeline,256,16,
pipeline,256,32,
pipeline,256,64,
pipeline,256,128,
pipeline,256,256,
pipeline,256,512,
pipeline,256,1024,
pipeline,256,2048,
pipeline,256,4096,
pipeline,256,8192,
pipeline,256,16384,
pipeline,256,32768,
pipeline,256,65536,
pipeline,256,131072,
pipeline,256,262144,
pipeline,256,524288,
pipeline,256,1048576,
chain,2,2,0.22
chain,2,4,0.22
chain,2,8,0.22
chain,2,16,0.22
chain,2,32,0.26
chain,2,64,0.25
chain,2,128,0.31
chain,2,256,0.33
chain,2,512,0.37
chain,2,1024,0.44
chain,2,2048,0.56
chain,2,4096,0.84
chain,2,8192,1.37
chain,2,16384,3.20
chain,2,32768,5.28
chain,2,65536,6.85
chain,2,131072,10.08
chain,2,262144,16.31
chain,2,524288,29.79
chain,2,1048576,62.35
chain,4,2,0.23
chain,4,4,0.27
chain,4,8,0.22
chain,4,16,0.21
chain,4,32,0.28
chain,4,64,0.26
chain,4,128,0.44
chain,4,256,0.47
chain,4,512,0.52
chain,4,1024,0.83
chain,4,2048,1.06
chain,4,4096,1.67
chain,4,8192,2.57
chain,4,16384,5.66
chain,4,32768,9.19
chain,4,65536,14.91
chain,4,131072,26.80
chain,4,262144,54.55
chain,4,524288,95.23
chain,4,1048576,225.04
chain,8,2,0.58
chain,8,4,0.58
chain,8,8,0.58
chain,8,16,0.63
chain,8,32,0.67
chain,8,64,0.71
chain,8,128,1.11
chain,8,256,1.13
chain,8,512,1.16
chain,8,1024,1.44
chain,8,2048,1.91
chain,8,4096,2.86
chain,8,8192,4.36
chain,8,16384,9.89
chain,8,32768,15.92
chain,8,65536,28.66
chain,8,131072,52.23
chain,8,262144,104.57
chain,8,524288,202.86
chain,8,1048576,376.78
chain,16,2,1.26
chain,16,4,1.18
chain,16,8,1.15
chain,16,16,1.18
chain,16,32,1.42
chain,16,64,1.38
chain,16,128,2.15
chain,16,256,2.26
chain,16,512,2.39
chain,16,1024,2.83
chain,16,2048,3.56
chain,16,4096,5.07
chain,16,8192,7.72
chain,16,16384,18.65
chain,16,32768,31.37
chain,16,65536,57.76
chain,16,131072,102.17
chain,16,262144,196.20
chain,16,524288,397.07
chain,16,1048576,736.23
chain,32,2,2.54
chain,32,4,2.55
chain,32,8,2.58
chain,32,16,2.53
chain,32,32,2.86
chain,32,64,2.94
chain,32,128,3.93
