Algorithm,Processes,Size,Latency
pipeline,2,2,0.20
pipeline,2,4,0.20
pipeline,2,8,0.19
pipeline,2,16,0.20
pipeline,2,32,0.22
pipeline,2,64,0.22
pipeline,2,128,0.30
pipeline,2,256,0.31
pipeline,2,512,0.33
pipeline,2,1024,0.38
pipeline,2,2048,0.50
pipeline,2,4096,0.77
pipeline,2,8192,1.25
pipeline,2,16384,2.24
pipeline,2,32768,4.03
pipeline,2,65536,7.59
pipeline,2,131072,14.29
pipeline,2,262144,17.77
pipeline,2,524288,49.04
pipeline,2,1048576,118.17
pipeline,4,2,0.63
pipeline,4,4,0.66
pipeline,4,8,0.64
pipeline,4,16,0.66
pipeline,4,32,0.65
pipeline,4,64,0.67
pipeline,4,128,0.92
pipeline,4,256,0.94
pipeline,4,512,1.05
pipeline,4,1024,1.21
pipeline,4,2048,1.66
pipeline,4,4096,2.35
pipeline,4,8192,3.69
pipeline,4,16384,6.13
pipeline,4,32768,10.55
pipeline,4,65536,18.78
pipeline,4,131072,34.92
pipeline,4,262144,76.79
pipeline,4,524288,162.29
pipeline,4,1048576,324.35
pipeline,8,2,1.18
pipeline,8,4,1.20
pipeline,8,8,1.26
pipeline,8,16,1.22
pipeline,8,32,1.43
pipeline,8,64,1.46
pipeline,8,128,2.00
pipeline,8,256,2.12
pipeline,8,512,2.20
pipeline,8,1024,2.61
pipeline,8,2048,3.50
pipeline,8,4096,5.14
pipeline,8,8192,8.20
pipeline,8,16384,13.05
pipeline,8,32768,21.69
pipeline,8,65536,38.66
pipeline,8,131072,72.45
pipeline,8,262144,181.87
pipeline,8,524288,374.66
pipeline,8,1048576,904.44
pipeline,16,2,2.47
pipeline,16,4,2.54
pipeline,16,8,2.51
pipeline,16,16,2.41
pipeline,16,32,3.09
pipeline,16,64,3.14
pipeline,16,128,3.91
pipeline,16,256,4.17
pipeline,16,512,4.47
pipeline,16,1024,5.35
pipeline,16,2048,7.11
pipeline,16,4096,10.58
pipeline,16,8192,16.76
pipeline,16,16384,26.51
pipeline,16,32768,52.69
pipeline,16,65536,77.22
pipeline,16,131072,140.47
pipeline,16,262144,384.38
pipeline,16,524288,834.14
pipeline,16,1048576,2045.99
pipeline,32,2,6.89
pipeline,32,4,7.06
pipeline,32,8,6.88
pipeline,32,16,7.00
pipeline,32,32,8.55
pipeline,32,64,8.35
pipeline,32,128,10.50
pipeline,32,256,12.94
pipeline,32,512,15.61
pipeline,32,1024,16.37
pipeline,32,2048,18.41
pipeline,32,4096,23.70
pipeline,32,8192,36.81
pipeline,32,16384,57.13
pipeline,32,32768,94.02
pipeline,32,65536,161.67
pipeline,32,131072,296.78
pipeline,32,262144,854.39
pipeline,32,524288,1763.00
pipeline,32,1048576,4142.51
pipeline,64,2,14.93
pipeline,64,4,14.20
pipeline,64,8,14.09
pipeline,64,16,16.55
pipeline,64,32,17.00
pipeline,64,64,22.25
pipeline,64,128,22.60
pipeline,64,256,22.13
pipeline,64,512,23.61
pipeline,64,1024,27.80
pipeline,64,2048,35.49
pipeline,64,4096,49.50
pipeline,64,8192,76.80
pipeline,64,16384,117.56
pipeline,64,32768,198.19
pipeline,64,65536,326.14
pipeline,64,131072,639.13
pipeline,64,262144,1764.48
pipeline,64,524288,3690.47
pipeline,64,1048576,8767.10
pipeline,128,2,
pipeline,128,4,
pipeline,128,8,
pipeline,128,16,
pipeline,128,32,
pipeline,128,64,
pipeline,128,128,
pipeline,128,256,
pipeline,128,512,
pipeline,128,1024,
pipeline,128,2048,
pipeline,128,4096,
pipeline,128,8192,
pipeline,128,16384,
pipeline,128,32768,
pipeline,128,65536,
pipeline,128,131072,
pipeline,128,262144,
pipeline,128,524288,
pipeline,128,1048576,
pipeline,256,2,
pipeline,256,4,
pipeline,256,8,
pipeline,256,16,
pipeline,256,32,
pipeline,256,64,
pipeline,256,128,
pipeline,256,256,
pipeline,256,512,
pipeline,256,1024,
pipeline,256,2048,
pipeline,256,4096,
pipeline,256,8192,
pipeline,256,16384,
pipeline,256,32768,
pipeline,256,65536,
pipeline,256,131072,
pipeline,256,262144,
pipeline,256,524288,
pipeline,256,1048576,
chain,2,2,0.21
chain,2,4,0.20
chain,2,8,0.20
chain,2,16,0.18
chain,2,32,0.23
chain,2,64,0.23
chain,2,128,0.29
chain,2,256,0.31
chain,2,512,0.35
chain,2,1024,0.38
chain,2,2048,0.50
chain,2,4096,0.76
chain,2,8192,1.23
chain,2,16384,2.24
chain,2,32768,4.01
chain,2,65536,7.45
chain,2,131072,14.08
chain,2,262144,17.65
chain,2,524288,49.01
chain,2,1048576,118.17
chain,4,2,0.36
chain,4,4,0.36
chain,4,8,0.35
chain,4,16,0.36
chain,4,32,0.37
chain,4,64,0.36
chain,4,128,0.44
chain,4,256,0.45
chain,4,512,0.48
chain,4,1024,0.56
chain,4,2048,0.69
chain,4,4096,1.02
chain,4,8192,1.64
chain,4,16384,3.31
chain,4,32768,5.94
chain,4,65536,10.94
chain,4,131072,21.44
chain,4,262144,71.00
chain,4,524288,158.99
chain,4,1048576,362.44
chain,8,2,0.43
chain,8,4,0.43
chain,8,8,0.43
chain,8,16,0.44
chain,8,32,0.45
chain,8,64,0.46
chain,8,128,0.57
chain,8,256,0.59
chain,8,512,0.64
chain,8,1024,0.74
chain,8,2048,1.01
chain,8,4096,1.50
chain,8,8192,2.43
chain,8,16384,4.42
chain,8,32768,7.78
chain,8,65536,14.35
chain,8,131072,28.48
chain,8,262144,95.70
chain,8,524288,208.45
chain,8,1048576,532.69
chain,16,2,0.67
chain,16,4,0.66
chain,16,8,0.68
chain,16,16,0.71
chain,16,32,0.86
chain,16,64,0.76
chain,16,128,1.03
chain,16,256,1.05
chain,16,512,1.09
chain,16,1024,1.28
chain,16,2048,1.80
chain,16,4096,2.69
chain,16,8192,4.29
chain,16,16384,7.22
chain,16,32768,12.42
chain,16,65536,23.16
chain,16,131072,45.10
chain,16,262144,121.67
chain,16,524288,267.47
chain,16,1048576,682.19
chain,32,2,1.96
chain,32,4,1.87
chain,32,8,1.87
chain,32,16,1.86
chain,32,32,2.18
chain,32,64,2.16
chain,32,128,2.67
chain,32,256,2.65
chain,32,512,2.75
chain,32,1024,3.19
chain,32,2048,4.21
chain,32,4096,5.70
chain,32,8192,8.89
chain,32,16384,17.96
chain,32,32768,25.81
chain,32,65536,42.18
chain,32,131072,77.41
chain,32,262144,209.79
chain,32,524288,460.40
chain,32,1048576,1181.50
chain,64,2,3.71
chain,64,4,3.54
chain,64,8,3.50
chain,64,16,3.36
chain,64,32,4.01
chain,64,64,4.10
chain,64,128,4.94
chain,64,256,5.03
chain,64,512,11.89
chain,64,1024,6.26
chain,64,2048,13.47
chain,64,4096,11.74
chain,64,8192,18.11
chain,64,16384,28.14
chain,64,32768,45.97
chain,64,65536,80.08
chain,64,131072,146.22
chain,64,262144,415.77
chain,64,524288,973.29
chain,64,1048576,2318.83
chain,128,2,
chain,128,4,
chain,128,8,
chain,128,16,
chain,128,32,
chain,128,64,
chain,128,128,
chain,128,256,
chain,128,512,
