Algorithm,Processes,Size,Latency
pipeline,2,2,0.23
pipeline,2,4,0.22
pipeline,2,8,0.22
pipeline,2,16,0.21
pipeline,2,32,0.26
pipeline,2,64,0.27
pipeline,2,128,0.33
pipeline,2,256,0.36
pipeline,2,512,0.40
pipeline,2,1024,0.43
pipeline,2,2048,0.57
pipeline,2,4096,0.89
pipeline,2,8192,1.42
pipeline,2,16384,2.58
pipeline,2,32768,4.64
pipeline,2,65536,8.56
pipeline,2,131072,16.02
pipeline,2,262144,20.06
pipeline,2,524288,53.39
pipeline,2,1048576,126.00
pipeline,4,2,0.65
pipeline,4,4,0.65
pipeline,4,8,0.65
pipeline,4,16,0.66
pipeline,4,32,0.75
pipeline,4,64,0.72
pipeline,4,128,1.03
pipeline,4,256,1.05
pipeline,4,512,1.16
pipeline,4,1024,1.35
pipeline,4,2048,1.91
pipeline,4,4096,2.61
pipeline,4,8192,4.16
pipeline,4,16384,6.87
pipeline,4,32768,11.78
pipeline,4,65536,20.97
pipeline,4,131072,38.74
pipeline,4,262144,90.55
pipeline,4,524288,183.73
pipeline,4,1048576,361.16
pipeline,8,2,1.36
pipeline,8,4,1.37
pipeline,8,8,1.36
pipeline,8,16,1.39
pipeline,8,32,1.55
pipeline,8,64,1.58
pipeline,8,128,2.20
pipeline,8,256,2.24
pipeline,8,512,2.41
pipeline,8,1024,2.87
pipeline,8,2048,3.89
pipeline,8,4096,5.68
pipeline,8,8192,9.09
pipeline,8,16384,14.50
pipeline,8,32768,24.17
pipeline,8,65536,44.79
pipeline,8,131072,76.20
pipeline,8,262144,203.56
pipeline,8,524288,423.23
pipeline,8,1048576,857.42
pipeline,16,2,3.53
pipeline,16,4,3.59
pipeline,16,8,3.50
pipeline,16,16,3.52
pipeline,16,32,4.73
pipeline,16,64,4.55
pipeline,16,128,5.75
pipeline,16,256,5.86
pipeline,16,512,6.40
pipeline,16,1024,7.55
pipeline,16,2048,9.89
pipeline,16,4096,13.83
pipeline,16,8192,27.10
pipeline,16,16384,33.44
pipeline,16,32768,55.92
pipeline,16,65536,95.67
pipeline,16,131072,177.93
pipeline,16,262144,480.86
pipeline,16,524288,950.84
pipeline,16,1048576,2034.58
pipeline,32,2,8.03
pipeline,32,4,7.96
pipeline,32,8,7.88
pipeline,32,16,8.13
pipeline,32,32,9.47
pipeline,32,64,9.95
pipeline,32,128,15.05
pipeline,32,256,15.60
pipeline,32,512,16.23
pipeline,32,1024,15.42
pipeline,32,2048,19.71
pipeline,32,4096,27.62
pipeline,32,8192,42.93
pipeline,32,16384,65.25
pipeline,32,32768,105.02
pipeline,32,65536,179.44
pipeline,32,131072,322.78
pipeline,32,262144,909.29
pipeline,32,524288,1777.98
pipeline,32,1048576,3767.23
pipeline,64,2,
pipeline,64,4,
pipeline,64,8,
pipeline,64,16,
pipeline,64,32,
pipeline,64,64,
pipeline,64,128,
pipeline,64,256,
pipeline,64,512,
pipeline,64,1024,
pipeline,64,2048,
pipeline,64,4096,
pipeline,64,8192,
pipeline,64,16384,
pipeline,64,32768,
pipeline,64,65536,
pipeline,64,131072,
pipeline,64,262144,
pipeline,64,524288,
pipeline,64,1048576,
pipeline,128,2,
pipeline,128,4,
pipeline,128,8,
pipeline,128,16,
pipeline,128,32,
pipeline,128,64,
pipeline,128,128,
pipeline,128,256,
pipeline,128,512,
pipeline,128,1024,
pipeline,128,2048,
pipeline,128,4096,
pipeline,128,8192,
pipeline,128,16384,
pipeline,128,32768,
pipeline,128,65536,
pipeline,128,131072,
pipeline,128,262144,
pipeline,128,524288,
pipeline,128,1048576,
pipeline,256,2,
pipeline,256,4,
pipeline,256,8,
pipeline,256,16,
pipeline,256,32,
pipeline,256,64,
pipeline,256,128,
pipeline,256,256,
pipeline,256,512,
pipeline,256,1024,
pipeline,256,2048,
pipeline,256,4096,
pipeline,256,8192,
pipeline,256,16384,
pipeline,256,32768,
pipeline,256,65536,
pipeline,256,131072,
