MPI Processes,OpenMP Threads,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status
2,1,1.26,1.49,46%,05.94,0,0,0,0,211360,0,111,81734,7355,986,0,57344,16392,0,0,0,4096,0
2,2,1.11,0.97,54%,03.83,0,0,0,0,211552,0,1,78291,7035,812,0,0,16392,0,0,0,4096,0
4,1,2.15,2.02,108%,03.85,0,0,0,0,209140,0,2,148257,14352,256,0,0,16392,0,0,0,4096,0
4,2,1.83,1.99,107%,03.57,0,0,0,0,208804,0,7,148378,14524,255,0,0,16392,0,0,0,4096,0
8,1,3.22,3.75,187%,03.72,0,0,0,0,185520,0,29,286814,34270,484,0,0,16392,0,0,0,4096,0
8,2,2.60,3.96,189%,03.47,0,0,0,0,185300,0,7,286807,32929,479,0,0,16392,0,0,0,4096,0
16,1,3.51,5.74,258%,03.57,0,0,0,0,202304,0,32,426808,56238,899,0,0,16392,0,0,0,4096,0
16,2,3.04,5.75,255%,03.44,0,0,0,0,202672,0,18,426925,51654,702,0,0,16392,0,0,0,4096,0
24,1,10.95,9.76,399%,05.17,0,0,0,0,227896,0,26,430566,96525,895,0,0,16400,0,0,0,4096,134
24,2,10.94,9.66,402%,05.12,0,0,0,0,227992,0,34,430405,94366,763,0,0,16392,0,0,0,4096,134
