MPI Processes,OpenMP Threads,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status
2,1,1.24,1.53,38%,07.18,0,0,0,0,211532,0,114,81711,7372,960,0,0,16392,0,0,0,4096,0
2,2,1.08,1.01,54%,03.83,0,0,0,0,211528,0,7,78282,7038,829,0,0,16392,0,0,0,4096,0
2,4,1.09,1.01,55%,03.81,0,0,0,0,211516,0,1,78355,7007,817,0,0,16392,0,0,0,4096,0
2,8,1.12,0.99,55%,03.82,0,0,0,0,211696,0,4,78395,7014,915,0,0,16392,0,0,0,4096,0
2,12,1.07,1.03,54%,03.85,0,0,0,0,211532,0,6,78366,7050,938,0,0,16392,0,0,0,4096,0
4,1,2.12,2.06,108%,03.84,0,0,0,0,208888,0,18,148292,14624,251,0,0,16392,0,0,0,4096,0
4,2,1.84,2.08,106%,03.68,0,0,0,0,208912,0,11,148455,14429,255,0,0,16392,0,0,0,4096,0
4,4,1.86,2.05,114%,03.44,0,0,0,0,209164,0,4,148258,14494,287,0,0,16392,0,0,0,4096,0
4,8,2.22,2.01,119%,03.56,0,0,0,0,208772,0,1,148290,14345,316,0,0,16392,0,0,0,4096,0
4,12,2.91,2.01,140%,03.51,0,0,0,0,208680,0,5,148390,14496,393,0,0,16392,0,0,0,4096,0
8,1,3.22,3.99,189%,03.80,0,0,0,0,185520,0,19,287103,33332,468,0,0,16392,0,0,0,4096,0
8,2,2.62,3.98,182%,03.61,0,0,0,0,185260,0,17,287147,31275,470,0,0,16392,0,0,0,4096,0
8,4,2.73,3.99,199%,03.36,0,0,0,0,185448,0,12,286853,29775,532,0,0,16392,0,0,0,4096,0
8,8,3.40,3.87,211%,03.44,0,0,0,0,185400,0,14,287232,29538,875,0,0,16392,0,0,0,4096,0
8,12,4.40,4.05,238%,03.55,0,0,0,0,185516,0,16,287228,29183,1857,0,0,16392,0,0,0,4096,0
16,1,3.84,6.07,251%,03.93,0,0,0,0,202796,0,22,426897,80716,716,0,0,16392,0,0,0,4096,0
16,2,3.32,6.51,268%,03.65,0,0,0,0,202700,0,33,426750,57805,685,0,0,16392,0,0,0,4096,0
16,4,3.50,6.20,275%,03.52,0,0,0,0,202828,0,32,426831,62529,1104,0,0,16392,0,0,0,4096,0
16,8,4.59,6.34,310%,03.52,0,0,0,0,202508,0,38,426920,54897,1911,0,0,16392,0,0,0,4096,0
16,12,6.35,5.80,329%,03.69,0,0,0,0,202968,0,22,427094,74935,2766,0,0,16392,0,0,0,4096,0
24,1,11.15,9.91,381%,05.52,0,0,0,0,227956,0,15,430640,107943,701,0,0,16400,0,0,0,4096,134
24,2,10.79,9.56,391%,05.19,0,0,0,0,228200,0,20,430590,94493,754,0,0,16400,0,0,0,4096,134
24,4,11.29,9.73,398%,05.27,0,0,0,0,228004,0,19,430709,100920,1242,0,0,16400,0,0,0,4096,134
24,8,12.51,10.03,16%,05.36,0,0,0,0,228568,0,36,430775,97042,1664,0,0,16400,0,0,0,4096,134
24,12,13.88,9.81,435%,05.44,0,0,0,0,228288,0,22,430990,102545,2667,0,0,16408,0,0,0,4096,134
